NLOID,ISCO-08 Score,SOC-20 Score,Major Group,Sub-Major Group,Minor Group,ISCO Unit Group,Occupation Title,Core List,Digital Economy Occupation ,Comprehension Score,OP N,OP Mean,OP Std,OP Skewness,OP Kurtosis,SV N,SV Mean,SV Std,SV Skewness,SV Kurtosis,OP/SV Difference
NL001,1111,1112,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1111 Legislators,Town Councillor,0,0,49,303,53.8647,19.39511,-0.801,0.336,305,57.38688525,21.36203805,-0.5745887938,-0.02389257282,-3.522185246
NL002,1111,1112,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1111 Legislators,Government Minister,1,0,47,1219,69.5677,23.97325,-1.244,1.148,1210,62.81239669,25.04309625,-0.7392272686,-0.1736424106,6.755303306
NL003,1112,1162,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1112 Senior Government Officials,Police Commissioner,0,0,42,302,70.5166,19.22168,-1.36,2.429,304,68.375,20.80835,-1.166,1.177,2.1416
NL004,1112,1111,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1112 Senior Government Officials,Foreign Diplomat,0,0,50,308,72.7338,20.55549,-1.12,1.225,300,62.98,21.9787,-0.672,0.125,9.7538
NL005,1113,1112,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1113 Traditional Chiefs and Heads of Villages,Village Head,0,0,42,306,53.5131,20.58604,-0.328,-0.343,301,52.0864,21.93109,-0.318,-0.199,1.4267
NL006,1114,1112,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1114 Senior Officials of Special-interest Organizations,Political Party Leader,0,0,50,303,61.0891,27.50199,-0.77,-0.276,305,52.7344,28.03601,-0.54,-0.734,8.3547
NL007,1114,4113,1 Managers,"11 Chief Executives, Senior Officials and Legislators",111 Legislators and Senior Officials,1114 Senior Officials of Special-interest Organizations,Trade Union Leader,0,0,48,302,55.0695,20.00428,-0.437,0.03,304,57.5592,23.96208,-0.524,-0.085,-2.4897
NL008,1120,1111,1 Managers,"11 Chief Executives, Senior Officials and Legislators",112 Managing Directors and Chief Executives,1120 Managing Directors and Chief Executives,Organized Crime Boss*,0,0,47,308,28.2468,31.32468,0.698,-0.982,300,13.0067,21.89317,1.954,2.999,15.2401
NL009,1120,1111,1 Managers,"11 Chief Executives, Senior Officials and Legislators",112 Managing Directors and Chief Executives,1120 Managing Directors and Chief Executives,Chief Executive Officer,1,0,44,1219,75.3782,17.92652,-1.324,2.347,1210,59.41157025,23.89041424,-0.6027155657,-0.1796890162,15.96662975
NL010,1120,1111,1 Managers,"11 Chief Executives, Senior Officials and Legislators",112 Managing Directors and Chief Executives,1120 Managing Directors and Chief Executives,Technology Start-up Founder,0,1,42,306,64.6307,19.76661,-0.684,0.537,301,55.392,20.75779,-0.509,0.057,9.2387
NL011,1211,1131,1 Managers,12 Administrative and Commercial Managers,121 Business Services and Administration Managers,1211 Finance Managers,Finance Manager,1,0,50,1219,62.8031,16.71992,-0.898,1.418,1210,55.81983471,20.08152787,-0.543232504,0.0552732663,6.983265289
NL012,1212,1136,1 Managers,12 Administrative and Commercial Managers,121 Business Services and Administration Managers,1212 Human Resource Managers,Personnel Manager,0,0,42,303,50.2607,18.58277,-0.448,-0.078,305,45.6098,21.35589,-0.387,-0.489,4.6509
NL013,1213,2439,1 Managers,12 Administrative and Commercial Managers,121 Business Services and Administration Managers,1213 Policy and Planning Managers,Policy Manager,0,0,44,302,52.4338,17.0637,-0.616,0.537,304,49.4342,20.35061,-0.338,-0.088,2.9996
